ANZDSN,UBS AG,-
ANZDSQ,UBS AG,-
ANZHA,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,102.000
ANZHAL,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZHAM,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZHAN,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZHAO,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZHAP,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZHAQ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZHAR,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZHAS,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZHAT,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-
ANZIO1,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
ANZIO2,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),18.540
ANZIOL,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
ANZIOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),12.550
ANZIOZ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),5.500
ANZISA,UBS AG,4.820
ANZISI,UBS AG,16.020
ANZISY,UBS AG,2.290
ANZISZ,UBS AG,1.715
ANZIYA,COMMONWEALTH BANK OF AUSTRALIA.                             ,17.510
ANZIYB,COMMONWEALTH BANK OF AUSTRALIA.                             ,13.890
ANZIYC,COMMONWEALTH BANK OF AUSTRALIA.                             ,7.330
ANZIYE,COMMONWEALTH BANK OF AUSTRALIA.                             ,19.300
ANZIYF,COMMONWEALTH BANK OF AUSTRALIA.                             ,12.300
ANZIYG,COMMONWEALTH BANK OF AUSTRALIA.                             ,7.560
ANZIYZ,COMMONWEALTH BANK OF AUSTRALIA.                             ,7.020
ANZJOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),18.890
ANZJOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),15.080
ANZJOH,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),12.250
ANZJOI,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),9.700
ANZJOJ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),16.500
ANZJOK,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),6.590
ANZJRA,THE ROYAL BANK OF SCOTLAND PLC,18.850
ANZJRB,THE ROYAL BANK OF SCOTLAND PLC,12.540
ANZJRE,THE ROYAL BANK OF SCOTLAND PLC,9.140
ANZKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.640
ANZKOG,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.430
ANZKOH,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),4.230
ANZKOI,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),4.740
ANZKOO,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.860
ANZKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.860
ANZKOS,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.330
